1 ; KA_Pos ; 142567 ;  ; 1 ;  ;  ; 1 ;  ; FKGr0 ; 0 ;  ;  ; 2 ;  ;  ;  ; 1 ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 28 ; 1 ; 3 ; 280 ;  ; 481K28279TVL029 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 29 ; 1 ; 3 ; 290 ;  ; 482I28282DMP029 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 30 ; 1 ; 3 ; 300 ;  ; 506H28379SRB059 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 31 ; 1 ; 3 ; 310 ;  ; 506F28379SRB019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 32 ; 1 ; 3 ; 320 ;  ; 507K28288SXK019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 33 ; 1 ; 3 ; 330 ;  ; 511C28393STA019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 34 ; 1 ; 3 ; 340 ;  ; 524K28287CHS019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 35 ; 1 ; 3 ; 350 ;  ; 552EA0128SKF000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 36 ; 1 ; 3 ; 360 ;  ; 554GA0130SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 37 ; 1 ; 3 ; 370 ;  ; 554IA0170SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 38 ; 1 ; 3 ; 380 ;  ; 554CA0105SAA000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 39 ; 1 ; 1 ; 390 ;  ; 683F31095PET019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 40 ; 39 ; 3 ; 400 ;  ; 683G31095PETFT3 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 41 ; 39 ; 3 ; 410 ;  ; 554EA0084SAB000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 42 ; 39 ; 3 ; 420 ;  ; 554AL0062PAM005 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 43 ; 39 ; 3 ; 430 ;  ; 901CB0008SAB012 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 44 ; 1 ; 1 ; 440 ;  ; 683F31095PET019 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 45 ; 44 ; 3 ; 450 ;  ; 683G31095PETFT3 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 46 ; 44 ; 3 ; 460 ;  ; 554EA0084SAB000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 47 ; 44 ; 3 ; 470 ;  ; 554AL0062PAM005 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....5 ; FA_Pos ; 616033 ;  ; 48 ; 44 ; 3 ; 480 ;  ; 901CB0008SAB012 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...4 ; FA_Pos ; 616033 ;  ; 49 ; 1 ; 3 ; 490 ;  ; 739CB0012PVC000 ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
