.1 ; KA_Pos ; 142120 ;  ; 1 ;  ;  ; 1 ;  ; NEGrI ;  ;  ;  ;  ;  ;  ;  ; 1 ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 100 ; 99 ; 3 ; 270 ;  ; 506F28232PAGFT3 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 101 ; 1 ; 3 ; 280 ;  ; 506A30146SRB139 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 102 ; 1 ; 3 ; 290 ;  ; 507K24969SXK039 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 103 ; 1 ; 3 ; 300 ;  ; 511I28122GGG019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 104 ; 1 ; 3 ; 310 ;  ; 524A28212CHS129 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 105 ; 1 ; 3 ; 320 ;  ; 552EA0150SKF000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 106 ; 1 ; 3 ; 330 ;  ; 554IA0170SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 107 ; 1 ; 3 ; 340 ;  ; 554IA0170SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 108 ; 1 ; 3 ; 350 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 109 ; 1 ; 3 ; 360 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 110 ; 1 ; 3 ; 370 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 111 ; 1 ; 3 ; 380 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 112 ; 1 ; 3 ; 390 ;  ; 554GA0130SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 113 ; 1 ; 3 ; 400 ;  ; 556K20228PEH149 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 114 ; 1 ; 1 ; 410 ;  ; 683F30881PET019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 115 ; 114 ; 3 ; 420 ;  ; 683L30881PETF13 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 116 ; 114 ; 3 ; 430 ;  ; 554AL0062PAM005 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 117 ; 114 ; 3 ; 440 ;  ; 901HB0008SAB016 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 118 ; 1 ; 1 ; 450 ;  ; 683C30881PET119 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 119 ; 118 ; 3 ; 460 ;  ; 683F30881PETF23 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 120 ; 118 ; 3 ; 470 ;  ; 554AL0062PAM005 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
.....5 ; FA_Pos ; 615298 ;  ; 121 ; 118 ; 3 ; 480 ;  ; 901HB0008SAB016 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 122 ; 1 ; 3 ; 490 ;  ; 701K28042PPL119 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 123 ; 1 ; 3 ; 500 ;  ; 732D31079STA039 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 124 ; 1 ; 3 ; 510 ;  ; 723G27630PPP019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 125 ; 1 ; 3 ; 520 ;  ; 739CB0012PVC000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 126 ; 1 ; 3 ; 530 ;  ; 739EA0034PVC000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 127 ; 1 ; 3 ; 540 ;  ; 741K30595PRC019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 128 ; 1 ; 3 ; 550 ;  ; 901GB0012SAA050 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 129 ; 1 ; 3 ; 560 ;  ; 901GB0012SAA050 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 130 ; 1 ; 3 ; 570 ;  ; 901DB0012SAA035 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 131 ; 1 ; 3 ; 580 ;  ; 902CI0058SAA050 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 132 ; 1 ; 3 ; 590 ;  ; 902BI0058SAA075 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 133 ; 1 ; 3 ; 600 ;  ; 902HA0012SAA030 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 134 ; 1 ; 3 ; 610 ;  ; 902HA0012SAA030 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 135 ; 1 ; 3 ; 620 ;  ; 904EC0012SAA050 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 136 ; 1 ; 3 ; 630 ;  ; 904HC0012SAA045 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 137 ; 1 ; 3 ; 640 ;  ; 914HC0012SAA025 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 138 ; 1 ; 3 ; 650 ;  ; 916K21061PVC019 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 139 ; 1 ; 3 ; 660 ;  ; 920HI0058SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 140 ; 1 ; 3 ; 670 ;  ; 920HI0058SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 141 ; 1 ; 3 ; 680 ;  ; 920CA0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 142 ; 1 ; 3 ; 690 ;  ; 920CA0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 143 ; 1 ; 3 ; 700 ;  ; 920AB0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 144 ; 1 ; 3 ; 710 ;  ; 920CA0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 145 ; 1 ; 3 ; 720 ;  ; 920CA0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 146 ; 1 ; 3 ; 730 ;  ; 920AB0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
....4 ; FA_Pos ; 615298 ;  ; 147 ; 1 ; 3 ; 740 ;  ; 920CA0012SAA000 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
...3 ; FA_Pos ; 615298 ;  ; 74 ; 0 ; 3 ; 750 ;  ; 970H31036SXB069 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
