142580;1;1100610;2;22.0122 (12509);1                                       ;FMGrI                                   ;0;FMPO 50-32-160 D;1;0
142580;2;1100610;2;22.0122 (12509);2                                       ;PPA0IFM01PAA000                         ;0;22.0122;1;0
142580;1;1100610;2;22.0122 (12509);1                                       ;FMGrI                                   ;0;FMPO 50-32-160 D;1;0
142580;2;1100610;2;22.0122 (12509);2                                       ;PPA0IFM01PAA000                         ;0;22.0122;1;0
142579;1;1030240;2;22.0121 (12460);1                                       ;NEGrIII                                 ;0;NEPD 200-150-250;1;0
142579;2;1030240;2;22.0121 (12460);2                                       ;PHA3BNE03UAA000                         ;0;22.0121;1;0
142579;3;1030240;1;22.0121 (12460);3                                       ;800EK2201210010                         ;1;;1;0
142579;1;1030240;2;22.0121 (12460);1                                       ;NEGrIII                                 ;0;NEPD 200-150-250;1;0
142579;2;1030240;2;22.0121 (12460);2                                       ;PHA3BNE03UAA000                         ;0;22.0121;1;0
142579;3;1030240;1;22.0121 (12460);3                                       ;800EK2201210010                         ;1;;1;0
142578;1;1380150;2;22.0120 (12512);1                                       ;NEGrII                                  ;0;NEKF 50-32-200;2;0
142578;2;1380150;2;22.0120 (12512);2                                       ;PPA0INE01PAA000                         ;0;22.0120/1+2;1;0
142578;1;1380150;2;22.0120 (12512);1                                       ;NEGrII                                  ;0;NEKF 50-32-200;2;0
142578;2;1380150;2;22.0120 (12512);2                                       ;PPA0INE01PAA000                         ;0;22.0120/1+2;1;0
142577;1;1020460;2;22.0119 (12496);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142577;1;1020460;2;22.0119 (12496);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142576;1;1100440;2;22.0118 (12492);1                                       ;NEGrIII                                 ;0;NEKO 125-80-315;1;0
142576;1;1100440;2;22.0118 (12492);1                                       ;NEGrIII                                 ;0;NEKO 125-80-315;1;0
142575;1;2020310;2;22.0117 (12514);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142575;1;2020310;2;22.0117 (12514);1                                       ;NEGrI                                   ;0;NEPO 50-32-160;1;0
142574;1;211003001;2;22.0116 (12475);1                                       ;NEGrIII                                 ;0;NEPO 125-100-250;1;0
142574;1;211003001;2;22.0116 (12475);1                                       ;NEGrIII                                 ;0;NEPO 125-100-250;1;0
142573;1;2070130;2;22.0115 (12315);1                                       ;NEGrI                                   ;0;NEPO 50-32-200;1;0
